S5RLST,S5TELS,S5COND,S5CONS,S5ENRS,S5FINL,S5HLTH,S5INDU,S5INFT,S5MATR,S5UTIL
242.95,171.35,961.5,620.29,453.64,471.88,1054.84,664.01,1423.27,366.17,321.72
243.71,171.49,962.16,620.14,455.54,469.84,1054.78,664.94,1422.34,365.87,320.21
240.35,170.99,956.4,616.76,462.55,469.39,1053.26,665.21,1417.4,363.3,317.38
237.93,172.31,969.05,622.72,447.81,471.68,1055.71,666.21,1421.26,369.31,317.12
241.0,172.39,970.88,627.45,444.25,467.76,1056.44,662.79,1430.86,365.16,318.94
239.66,171.76,965.83,625.55,447.08,465.6,1057.71,662.29,1423.77,362.54,318.51
240.42,170.15,964.29,623.01,446.98,462.85,1047.12,655.99,1409.53,359.08,315.43
243.75,170.2,967.99,626.83,441.27,460.99,1044.07,649.5,1416.49,355.58,315.12
245.89,169.82,965.06,628.52,433.24,454.01,1053.74,647.68,1426.76,357.38,317.09
245.36,170.2,963.01,625.55,431.01,453.94,1050.46,646.62,1428.93,355.68,318.15
247.69,167.52,945.05,630.18,425.6,445.49,1040.31,635.4,1399.16,354.95,321.98
245.61,164.87,936.98,624.42,419.76,440.72,1040.16,627.22,1375.65,351.16,321.51
242.44,166.58,940.47,621.27,422.09,445.65,1046.74,636.24,1393.25,354.28,315.97
242.22,166.71,945.77,622.31,421.74,443.89,1045.0,633.48,1393.07,351.92,315.82
240.46,164.51,932.02,622.33,415.71,437.42,1037.01,622.48,1369.42,347.86,313.8
239.65,163.68,921.94,616.53,409.96,433.46,1029.73,615.97,1368.12,344.88,314.62
240.59,163.52,925.72,618.33,412.53,436.5,1035.41,618.66,1369.95,344.55,314.19
238.16,161.06,916.38,611.45,410.68,431.84,1025.47,614.12,1351.11,343.54,310.52
241.27,165.36,942.34,621.65,425.02,443.07,1049.81,631.18,1397.29,352.12,313.82
240.24,165.64,942.92,618.97,427.08,440.32,1054.96,630.3,1400.95,354.6,313.61
239.05,164.99,926.0,616.85,423.89,438.32,1047.12,626.1,1384.62,352.74,311.51
241.0,166.64,926.72,624.42,428.01,444.53,1056.18,630.49,1391.95,357.08,312.07
238.85,164.35,915.32,618.62,419.03,440.19,1045.86,624.22,1370.62,354.34,309.93
237.36,162.44,905.42,611.74,414.12,432.16,1033.52,612.61,1345.34,348.22,308.83
234.23,161.67,906.1,602.63,416.27,430.82,1029.94,614.04,1347.85,348.25,304.99
237.98,166.78,935.46,612.34,434.15,446.72,1059.98,632.99,1391.09,359.97,307.88
237.79,164.32,920.06,605.12,429.79,441.49,1046.49,625.81,1357.55,355.78,307.75
238.18,165.94,933.03,609.05,435.96,449.93,1057.12,634.46,1374.82,361.64,308.29
238.02,167.28,942.18,612.59,441.49,451.27,1055.21,639.8,1392.17,364.21,308.18
234.35,163.64,923.86,605.27,429.08,443.89,1040.86,629.32,1359.7,357.46,305.06
232.18,164.33,920.96,598.32,432.35,449.34,1041.18,630.03,1351.07,352.8,304.4
229.48,162.14,907.67,592.59,432.63,442.67,1028.13,620.74,1329.68,352.51,300.49
234.05,167.01,933.12,608.99,445.85,457.56,1052.76,638.4,1386.07,359.06,305.1
232.28,168.35,941.7,608.27,451.93,458.55,1055.1,642.57,1409.78,363.47,304.94
231.76,169.18,954.09,611.23,462.47,469.45,1054.04,655.57,1417.35,365.54,301.9
232.46,171.08,965.48,623.64,464.95,471.49,1064.57,662.55,1438.48,371.05,303.49
